BookingID,Canceled
16833,1
12997,0
14155,0
20538,1
33756,1
13118,0
15665,0
10601,0
22766,0
26845,0
36729,0
36247,0
39392,1
28080,0
17889,0
13789,0
17738,0
37433,0
14067,0
37585,0
19728,0
27425,0
31002,1
17810,1
15575,0
11563,0
36584,0
28541,0
19225,0
10880,0
37589,0
15675,0
30882,0
25458,0
37648,1
19325,0
34440,0
28775,0
29564,0
37588,0
32168,1
36796,0
17556,1
26619,0
26478,0
25047,0
19658,0
15113,0
33120,0
15501,0
20000,0
12645,0
27332,0
27268,0
21259,0
23537,0
25337,0
30125,0
15796,0
16611,0
21520,0
27081,0
21079,0
39014,0
26021,1
39342,0
18101,0
20940,0
26635,0
13045,0
39907,1
24290,0
12223,0
37075,0
15067,0
22280,1
31318,0
13181,0
11139,0
14322,0
35392,1
10909,0
24909,0
27779,0
33942,0
19681,1
15320,0
30777,0
38052,0
31746,0
39296,0
37765,0
27227,0
21481,0
35429,0
35874,1
36109,0
15079,1
14095,1
36396,0
30182,0
11348,0
26931,0
10902,0
18488,1
24801,0
22756,0
34170,0
20473,1
12684,0
39449,0
22334,0
31845,0
27387,0
19070,0
19578,1
22740,1
29878,0
17354,0
23830,0
27497,0
19205,1
24733,0
15619,0
16942,0
26735,0
26618,0
29838,1
23432,1
17591,0
25270,0
16192,0
35470,1
32406,0
29783,0
22383,0
24391,0
29732,1
29386,1
11779,1
28739,0
30863,0
21314,0
39248,0
25848,0
38873,1
17539,1
37145,1
38549,0
22389,0
25453,0
12110,1
13533,0
39025,1
27312,0
34734,0
37020,0
32466,1
33515,0
18360,0
39201,0
25250,1
29557,0
25808,1
15318,1
22030,0
10634,1
24514,1
17286,1
18295,0
16587,1
23657,1
30192,1
13693,0
39465,0
39400,0
19488,1
34798,0
29017,0
19540,0
39065,0
24035,0
37405,0
20504,0
12844,0
30160,0
16203,1
31187,0
27201,0
32377,0
10932,1
29927,0
37823,0
32205,1
31293,1
20900,0
10171,0
27979,0
26128,1
28424,0
10873,0
27066,1
25950,0
18305,0
21337,0
23954,0
19057,1
26058,1
21753,1
31085,1
14917,0
36949,0
16796,0
36838,1
25032,0
25366,0
10470,1
21022,0
25495,0
39502,1
35626,1
30923,0
29827,1
10407,0
14799,0
24959,1
14308,0
22707,0
23285,0
31559,1
34533,1
29956,0
24009,0
25742,0
14184,0
10086,1
23415,1
37773,0
32341,0
18353,1
18322,0
12575,0
37374,0
11201,0
30893,0
11787,1
26793,0
15305,0
27088,1
39954,0
39561,1
12055,0
35713,0
10742,1
38558,1
34708,0
10367,1
38270,0
21065,1
30798,0
11218,0
37042,0
25304,1
11269,0
32861,0
16832,1
25344,1
17697,0
39355,0
11293,0
14791,0
25834,1
28973,0
17796,0
13555,0
24393,1
29503,1
17769,0
23113,0
28165,0
32111,0
16121,0
38890,0
32841,1
28409,0
31438,0
17272,0
26209,0
14516,0
30458,0
39422,1
34853,0
21094,0
28290,0
34141,0
38287,0
29222,0
25291,0
12040,0
37618,0
19350,1
20996,1
22953,0
21612,0
21843,0
28486,0
13941,1
25074,1
10538,0
10759,0
33425,0
37502,1
31705,0
17380,0
10363,0
18665,0
36102,0
15972,1
18498,0
37009,0
15732,0
17666,0
30181,0
15357,0
33446,0
33552,0
23643,1
35579,0
13541,0
35379,0
11576,0
36320,0
21591,1
34435,0
28277,0
25486,0
31448,0
25933,0
20711,1
28147,1
22210,0
38637,0
29847,1
34587,0
32790,1
14918,0
21844,1
25998,0
36082,0
18055,0
22205,1
12876,1
35896,0
28123,0
27451,0
38756,0
13133,0
13495,0
15015,0
37850,1
24098,0
28345,0
10029,0
18769,0
24534,0
15617,1
28125,0
35165,0
29724,1
19259,0
36303,0
11462,0
22423,0
22468,0
11322,0
20361,1
10961,1
25769,0
32607,0
31877,0
10571,0
13397,0
33838,1
29523,0
26591,0
34317,0
37643,1
32864,0
22592,0
10426,1
12064,0
18510,1
11456,0
35493,0
25005,1
15253,0
26112,0
33036,0
11356,0
10588,0
11508,0
32133,0
37997,1
33283,1
37770,0
35596,0
25930,0
10570,1
35524,0
20331,0
35507,1
31272,1
27245,1
16441,0
12505,0
26494,0
39631,0
38532,0
14291,0
12427,1
15368,0
20842,0
18479,0
31506,0
30447,0
20639,1
38168,0
12985,0
32046,0
19089,0
34901,0
33088,0
13831,0
36658,1
14294,0
13425,0
37300,1
37712,1
12053,0
15486,1
25151,0
31416,1
22872,1
36249,0
33701,1
33835,1
36859,1
25891,0
27386,0
11566,1
34968,0
35354,0
31884,1
36379,1
18960,0
39983,0
13807,0
21401,0
22316,0
32345,1
31452,0
32372,1
29848,0
17820,1
31855,0
18511,0
25829,0
34300,0
13000,0
11684,0
25439,0
20776,1
36305,0
28926,0
18557,1
35159,1
36985,0
11032,0
31089,1
23166,1
37520,0
15657,0
18783,0
23736,0
36790,0
15674,1
30824,0
20803,1
21018,1
36275,0
18048,0
12982,0
31407,0
32876,0
20385,0
11872,0
38432,0
14617,1
24209,0
15179,1
27087,0
15552,0
20959,0
14197,1
21121,0
28651,0
24515,0
26380,0
11409,0
27309,1
11001,0
28660,0
25629,1
12406,1
14743,1
35322,0
18338,1
12764,0
35575,1
33441,0
30753,1
24956,0
31232,0
38922,0
34705,0
29720,0
20691,1
29368,0
13455,0
20289,0
39548,0
33327,1
15402,0
19360,1
31124,1
29734,0
31570,0
38465,1
38824,1
38222,1
24371,1
16550,0
28572,0
34737,0
10181,0
38866,1
10983,0
34018,0
31207,0
19422,0
31280,0
12409,0
39126,0
29629,0
22135,0
27848,1
15458,0
24990,0
38491,0
27099,0
28743,0
20766,0
28600,0
18091,1
19706,0
25062,0
27764,1
20736,1
18824,0
36165,0
23268,1
30982,0
38913,0
27089,0
14859,1
25492,1
17136,1
37498,0
23233,1
10198,0
17182,0
15506,1
25850,0
39136,1
26147,0
30527,1
27623,0
39235,1
34884,0
36199,0
35057,0
15416,1
39352,1
37964,1
17409,1
35336,0
18489,0
23257,1
33513,0
23011,1
11825,1
27520,0
26887,0
20686,0
19632,0
10750,1
13487,1
23135,0
20009,1
18067,0
36720,0
11729,1
38539,0
27961,1
15945,1
35326,0
34830,0
31961,0
22187,0
12662,0
20745,1
26547,0
33791,1
28077,1
29387,0
22873,0
26744,0
30091,1
35735,0
30528,0
26272,1
30966,0
19340,0
26565,1
17516,0
21818,0
39899,0
10778,0
19947,1
19076,1
35863,1
25361,0
29352,0
27233,0
18316,0
30343,1
30567,0
39807,0
32652,0
29468,1
24334,0
30254,1
39316,0
34865,0
18676,0
15817,1
17333,0
21620,0
30064,0
11596,0
20770,1
25757,0
31744,0
23282,0
23059,0
36520,0
18068,1
36692,0
28246,0
28347,0
17775,0
32791,0
30015,0
22085,1
34125,0
37197,0
28511,0
29380,0
10721,1
14924,0
31284,0
32956,0
36824,0
15280,0
11578,1
25209,0
30459,0
21342,0
14893,0
33030,0
15933,0
38235,0
25546,0
37816,1
38761,0
23527,0
36921,0
26460,0
23710,0
32081,0
34951,0
28429,0
38897,0
30808,0
15731,0
36298,0
31874,0
19025,0
19060,0
39417,1
29735,0
25391,1
29852,1
17348,0
33822,0
25147,0
20756,0
25218,0
30437,0
13680,0
12919,0
34136,1
37553,0
19624,1
22284,0
32454,1
33356,0
37198,0
12574,0
17414,0
23818,0
39397,1
10812,0
27284,1
10282,0
12090,0
26224,1
17344,1
22932,0
25783,1
28516,0
23615,1
19573,1
18902,0
24705,0
14433,0
11733,1
26482,1
29078,0
13056,0
